05-15 05:20:48.624 19766 20159 D AppLog  : User:003 ; Type:server_ack ; Message:i ; MessageID:2 ; Time:05:20:48.624
05-15 05:20:48.844 19766 20159 D AppLog  : User:003 ; Type:receiver_ack ; Message:i ; MessageID:2 ; Time:05:20:48.844
05-15 05:20:49.421 19766 19766 D AppLog  : User:003 ; Type:new_msg ; Message:h ; MessageID:3 ; Time:05:20:49.416
05-15 05:20:50.393 19766 20159 D AppLog  : User:003 ; Type:server_ack ; Message:h ; MessageID:3 ; Time:05:20:50.393
05-15 05:20:50.589 19766 20159 D AppLog  : User:003 ; Type:receiver_ack ; Message:h ; MessageID:3 ; Time:05:20:50.589
05-15 05:20:51.275 19766 19766 D AppLog  : User:003 ; Type:new_msg ; Message:f ; MessageID:4 ; Time:05:20:51.270
05-15 05:20:52.216 19766 20159 D AppLog  : User:003 ; Type:server_ack ; Message:f ; MessageID:4 ; Time:05:20:52.215
05-15 05:20:52.412 19766 20159 D AppLog  : User:003 ; Type:receiver_ack ; Message:f ; MessageID:4 ; Time:05:20:52.412
05-15 05:20:53.531 19766 19766 D AppLog  : User:003 ; Type:new_msg ; Message:k ; MessageID:5 ; Time:05:20:53.525
05-15 05:20:54.601 19766 20159 D AppLog  : User:003 ; Type:server_ack ; Message:k ; MessageID:5 ; Time:05:20:54.601
05-15 05:20:54.814 19766 20159 D AppLog  : User:003 ; Type:receiver_ack ; Message:k ; MessageID:5 ; Time:05:20:54.814
05-15 05:20:55.534 19766 19766 D AppLog  : User:003 ; Type:new_msg ; Message:d ; MessageID:6 ; Time:05:20:55.530
05-15 05:20:56.491 19766 20159 D AppLog  : User:003 ; Type:server_ack ; Message:d ; MessageID:6 ; Time:05:20:56.491
05-15 05:20:56.713 19766 20159 D AppLog  : User:003 ; Type:receiver_ack ; Message:d ; MessageID:6 ; Time:05:20:56.712
05-15 05:20:57.736 19766 19766 D AppLog  : User:003 ; Type:new_msg ; Message:r ; MessageID:7 ; Time:05:20:57.731
05-15 05:20:58.778 19766 20159 D AppLog  : User:003 ; Type:server_ack ; Message:r ; MessageID:7 ; Time:05:20:58.778
05-15 05:20:58.972 19766 20159 D AppLog  : User:003 ; Type:receiver_ack ; Message:r ; MessageID:7 ; Time:05:20:58.971

